,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.136906,0.073594,0.181154,0.275828,0.100847,0.113276,0.148581,0.129086,0.132162,0.490084,0.635848,0.337270
lij,0.136906,0.000000,0.107588,0.177606,0.182429,0.052996,0.050707,0.159082,0.244805,0.202138,0.526109,0.594862,0.358684
lmo,0.073594,0.107588,0.000000,0.153607,0.234879,0.064389,0.103067,0.078597,0.139936,0.060451,0.448222,0.573662,0.337134
sc,0.181154,0.177606,0.153607,0.000000,0.232964,0.160319,0.151705,0.129910,0.242116,0.203339,0.523266,0.613598,0.360800
scn,0.275828,0.182429,0.234879,0.232964,0.000000,0.206946,0.156669,0.346544,0.427743,0.367055,0.671370,0.602735,0.517977
vec,0.100847,0.052996,0.064389,0.160319,0.206946,0.000000,0.049210,0.114544,0.209948,0.155061,0.518054,0.517846,0.382769
ita,0.113276,0.050707,0.103067,0.151705,0.156669,0.049210,0.000000,0.167792,0.242518,0.208920,0.550393,0.608168,0.376400
spa,0.148581,0.159082,0.078597,0.129910,0.346544,0.114544,0.167792,0.000000,0.175420,0.068235,0.486402,0.597790,0.374912
fra,0.129086,0.244805,0.139936,0.242116,0.427743,0.209948,0.242518,0.175420,0.000000,0.133395,0.436522,0.669289,0.314074
cat,0.132162,0.202138,0.060451,0.203339,0.367055,0.155061,0.208920,0.068235,0.133395,0.000000,0.515668,0.658692,0.379762
deu,0.490084,0.526109,0.448222,0.523266,0.671370,0.518054,0.550393,0.486402,0.436522,0.515668,0.000000,0.696442,0.481453
slv,0.635848,0.594862,0.573662,0.613598,0.602735,0.517846,0.608168,0.597790,0.669289,0.658692,0.696442,0.000000,0.769194
eng,0.337270,0.358684,0.337134,0.360800,0.517977,0.382769,0.376400,0.374912,0.314074,0.379762,0.481453,0.769194,0.000000
