,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.925690,0.959100,0.938776,0.924433,0.947330,0.952563,0.952370,0.962944,0.961835,0.882552,0.905358,0.915216
lij,0.925690,1.000000,0.953871,0.938437,0.920531,0.968135,0.970533,0.955829,0.936239,0.951283,0.844451,0.870771,0.892155
lmo,0.959100,0.953871,1.000000,0.951881,0.934881,0.964321,0.966316,0.962283,0.959780,0.974331,0.885230,0.896692,0.917368
sc,0.938776,0.938437,0.951881,1.000000,0.930398,0.945569,0.952357,0.960016,0.950753,0.955774,0.873023,0.879505,0.912423
scn,0.924433,0.920531,0.934881,0.930398,1.000000,0.914088,0.938268,0.914770,0.908810,0.923860,0.825328,0.852463,0.868658
vec,0.947330,0.968135,0.964321,0.945569,0.914088,1.000000,0.976409,0.971545,0.954140,0.966088,0.869208,0.902551,0.913477
ita,0.952563,0.970533,0.966316,0.952357,0.938268,0.976409,1.000000,0.970569,0.958275,0.968612,0.869609,0.895441,0.915240
spa,0.952370,0.955829,0.962283,0.960016,0.914770,0.971545,0.970569,1.000000,0.968054,0.975564,0.886812,0.908658,0.925519
fra,0.962944,0.936239,0.959780,0.950753,0.908810,0.954140,0.958275,0.968054,1.000000,0.974426,0.916395,0.916646,0.940993
cat,0.961835,0.951283,0.974331,0.955774,0.923860,0.966088,0.968612,0.975564,0.974426,1.000000,0.898212,0.909808,0.931952
deu,0.882552,0.844451,0.885230,0.873023,0.825328,0.869208,0.869609,0.886812,0.916395,0.898212,1.000000,0.935769,0.952246
slv,0.905358,0.870771,0.896692,0.879505,0.852463,0.902551,0.895441,0.908658,0.916646,0.909808,0.935769,1.000000,0.932437
eng,0.915216,0.892155,0.917368,0.912423,0.868658,0.913477,0.915240,0.925519,0.940993,0.931952,0.952246,0.932437,1.000000
