variety_A,variety_B,mean_similarity,family_A,family_B
vec,ita,0.976409,italo_romance,italian
spa,cat,0.975564,romance,romance
fra,cat,0.974426,romance,romance
lmo,cat,0.974331,italo_romance,romance
vec,spa,0.971545,italo_romance,romance
ita,spa,0.970569,italian,romance
lij,ita,0.970533,italo_romance,italian
ita,cat,0.968612,italian,romance
lij,vec,0.968135,italo_romance,italo_romance
spa,fra,0.968054,romance,romance
lmo,ita,0.966316,italo_romance,italian
vec,cat,0.966088,italo_romance,romance
lmo,vec,0.964321,italo_romance,italo_romance
fur,fra,0.962944,italo_romance,romance
lmo,spa,0.962283,italo_romance,romance
fur,cat,0.961835,italo_romance,romance
sc,spa,0.960016,italo_romance,romance
lmo,fra,0.959780,italo_romance,romance
fur,lmo,0.959100,italo_romance,italo_romance
ita,fra,0.958275,italian,romance
lij,spa,0.955829,italo_romance,romance
sc,cat,0.955774,italo_romance,romance
vec,fra,0.954140,italo_romance,romance
lij,lmo,0.953871,italo_romance,italo_romance
fur,ita,0.952563,italo_romance,italian
fur,spa,0.952370,italo_romance,romance
sc,ita,0.952357,italo_romance,italian
deu,eng,0.952246,germanic,english
lmo,sc,0.951881,italo_romance,italo_romance
lij,cat,0.951283,italo_romance,romance
sc,fra,0.950753,italo_romance,romance
fur,vec,0.947330,italo_romance,italo_romance
sc,vec,0.945569,italo_romance,italo_romance
fra,eng,0.940993,romance,english
fur,sc,0.938776,italo_romance,italo_romance
lij,sc,0.938437,italo_romance,italo_romance
scn,ita,0.938268,italo_romance,italian
lij,fra,0.936239,italo_romance,romance
deu,slv,0.935769,germanic,slavic
lmo,scn,0.934881,italo_romance,italo_romance
slv,eng,0.932437,slavic,english
cat,eng,0.931952,romance,english
sc,scn,0.930398,italo_romance,italo_romance
fur,lij,0.925690,italo_romance,italo_romance
spa,eng,0.925519,romance,english
fur,scn,0.924433,italo_romance,italo_romance
scn,cat,0.923860,italo_romance,romance
lij,scn,0.920531,italo_romance,italo_romance
lmo,eng,0.917368,italo_romance,english
fra,slv,0.916646,romance,slavic
fra,deu,0.916395,romance,germanic
ita,eng,0.915240,italian,english
fur,eng,0.915216,italo_romance,english
scn,spa,0.914770,italo_romance,romance
scn,vec,0.914088,italo_romance,italo_romance
vec,eng,0.913477,italo_romance,english
sc,eng,0.912423,italo_romance,english
cat,slv,0.909808,romance,slavic
scn,fra,0.908810,italo_romance,romance
spa,slv,0.908658,romance,slavic
fur,slv,0.905358,italo_romance,slavic
vec,slv,0.902551,italo_romance,slavic
cat,deu,0.898212,romance,germanic
lmo,slv,0.896692,italo_romance,slavic
ita,slv,0.895441,italian,slavic
lij,eng,0.892155,italo_romance,english
spa,deu,0.886812,romance,germanic
lmo,deu,0.885230,italo_romance,germanic
fur,deu,0.882552,italo_romance,germanic
sc,slv,0.879505,italo_romance,slavic
sc,deu,0.873023,italo_romance,germanic
lij,slv,0.870771,italo_romance,slavic
ita,deu,0.869609,italian,germanic
vec,deu,0.869208,italo_romance,germanic
scn,eng,0.868658,italo_romance,english
scn,slv,0.852463,italo_romance,slavic
lij,deu,0.844451,italo_romance,germanic
scn,deu,0.825328,italo_romance,germanic
