# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.028467,family_labels
davies_bouldin,0.962556,family_labels
calinski_harabasz,2.546532,family_labels
cophenetic_correlation,0.928072,hierarchical
adjusted_rand_index,0.494444,hierarchical_cut
normalized_mutual_info,0.760964,hierarchical_cut
v_measure,0.760964,hierarchical_cut
adjusted_rand_index,0.731959,kmeans
normalized_mutual_info,0.872980,kmeans
v_measure,0.872980,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.179611
sc,italo_romance,0.069441
spa,romance,0.062286
lmo,italo_romance,0.047219
fra,romance,0.030378
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
fur,italo_romance,-0.024076
lij,italo_romance,-0.200378
scn,italo_romance,-0.225253
vec,italo_romance,-0.309302
