# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.142130,family_labels
davies_bouldin,0.988092,family_labels
calinski_harabasz,1.674665,family_labels
cophenetic_correlation,0.736498,hierarchical
adjusted_rand_index,0.320000,hierarchical_cut
normalized_mutual_info,0.736912,hierarchical_cut
v_measure,0.736912,hierarchical_cut
adjusted_rand_index,0.289389,kmeans
normalized_mutual_info,0.737975,kmeans
v_measure,0.737975,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.002231
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
fur,italo_romance,-0.050765
spa,romance,-0.123922
scn,italo_romance,-0.141823
fra,romance,-0.150952
lij,italo_romance,-0.206050
sc,italo_romance,-0.281332
lmo,italo_romance,-0.433564
vec,italo_romance,-0.461509
