,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.115674,0.119394,0.153439,0.157617,0.156435,0.133379,0.211981,0.152379,0.173391,0.234028,0.197653,0.182937
lij,0.115674,0.000000,0.119277,0.153895,0.171257,0.121343,0.108207,0.203247,0.161578,0.172937,0.249420,0.234519,0.183482
lmo,0.119394,0.119277,0.000000,0.089301,0.115727,0.093445,0.060852,0.141762,0.152121,0.094278,0.159701,0.181707,0.133535
sc,0.153439,0.153895,0.089301,0.000000,0.100905,0.114700,0.087999,0.158507,0.170767,0.130097,0.191705,0.222017,0.138558
scn,0.157617,0.171257,0.115727,0.100905,0.000000,0.170584,0.122906,0.249350,0.217693,0.189248,0.279418,0.260959,0.234073
vec,0.156435,0.121343,0.093445,0.114700,0.170584,0.000000,0.070705,0.154815,0.187334,0.158381,0.240483,0.203276,0.156964
ita,0.133379,0.108207,0.060852,0.087999,0.122906,0.070705,0.000000,0.099806,0.116950,0.093843,0.154068,0.153031,0.077105
spa,0.211981,0.203247,0.141762,0.158507,0.249350,0.154815,0.099806,0.000000,0.131354,0.082580,0.180735,0.187504,0.093712
fra,0.152379,0.161578,0.152121,0.170767,0.217693,0.187334,0.116950,0.131354,0.000000,0.104686,0.183375,0.246005,0.100205
cat,0.173391,0.172937,0.094278,0.130097,0.189248,0.158381,0.093843,0.082580,0.104686,0.000000,0.192273,0.226929,0.104277
deu,0.234028,0.249420,0.159701,0.191705,0.279418,0.240483,0.154068,0.180735,0.183375,0.192273,0.000000,0.192969,0.114323
slv,0.197653,0.234519,0.181707,0.222017,0.260959,0.203276,0.153031,0.187504,0.246005,0.226929,0.192969,0.000000,0.188328
eng,0.182937,0.183482,0.133535,0.138558,0.234073,0.156964,0.077105,0.093712,0.100205,0.104277,0.114323,0.188328,0.000000
