dialect,reference,ref_family,mean_similarity
fur,cat,romance,0.987266
fur,fra,romance,0.986602
fur,ita,italian,0.986206
fur,spa,romance,0.984520
fur,slv,slavic,0.968664
fur,eng,english,0.964773
fur,deu,germanic,0.954537
lij,ita,italian,0.989322
lij,spa,romance,0.985875
lij,cat,romance,0.985727
lij,fra,romance,0.982282
lij,slv,slavic,0.966711
lij,eng,english,0.961964
lij,deu,germanic,0.952188
lmo,cat,romance,0.989376
lmo,ita,italian,0.986705
lmo,spa,romance,0.985251
lmo,fra,romance,0.983743
lmo,slv,slavic,0.968164
lmo,eng,english,0.962701
lmo,deu,germanic,0.956773
sc,spa,romance,0.983745
sc,cat,romance,0.983564
sc,fra,romance,0.982122
sc,ita,italian,0.981109
sc,eng,english,0.962356
sc,slv,slavic,0.960317
sc,deu,germanic,0.952439
scn,ita,italian,0.978428
scn,cat,romance,0.975657
scn,spa,romance,0.972160
scn,fra,romance,0.970974
scn,slv,slavic,0.952655
scn,eng,english,0.945460
scn,deu,germanic,0.934316
vec,ita,italian,0.990943
vec,spa,romance,0.988689
vec,cat,romance,0.988353
vec,fra,romance,0.984681
vec,slv,slavic,0.969229
vec,eng,english,0.965324
vec,deu,germanic,0.955558
