,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.944165,0.976931,0.957413,0.943238,0.964707,0.971106,0.973229,0.981416,0.981177,0.904475,0.930173,0.938098
lij,0.944165,1.000000,0.971618,0.958120,0.938771,0.984066,0.988205,0.977898,0.956376,0.971519,0.866386,0.896417,0.915878
lmo,0.976931,0.971618,1.000000,0.971925,0.953479,0.981114,0.985044,0.984657,0.980653,0.994597,0.908217,0.923017,0.941715
sc,0.957413,0.958120,0.971925,1.000000,0.949168,0.964450,0.971721,0.979669,0.969452,0.975122,0.894482,0.903658,0.934914
scn,0.943238,0.938771,0.953479,0.949168,1.000000,0.931092,0.956088,0.936096,0.928710,0.944459,0.847411,0.877666,0.892310
vec,0.964707,0.984066,0.981114,0.964450,0.931092,1.000000,0.992400,0.992774,0.974069,0.985445,0.891783,0.928157,0.936836
ita,0.971106,0.988205,0.985044,0.971721,0.956088,0.992400,1.000000,0.991444,0.977936,0.988328,0.892017,0.921021,0.939484
spa,0.973229,0.977898,0.984657,0.979669,0.936096,0.992774,0.991444,1.000000,0.987355,0.993061,0.909719,0.934571,0.949343
fra,0.981416,0.956376,0.980653,0.969452,0.928710,0.974069,0.977936,0.987355,1.000000,0.992124,0.938085,0.941618,0.962871
cat,0.981177,0.971519,0.994597,0.975122,0.944459,0.985445,0.988328,0.993061,0.992124,1.000000,0.920682,0.935836,0.954434
deu,0.904475,0.866386,0.908217,0.894482,0.847411,0.891783,0.892017,0.909719,0.938085,0.920682,1.000000,0.958124,0.973621
slv,0.930173,0.896417,0.923017,0.903658,0.877666,0.928157,0.921021,0.934571,0.941618,0.935836,0.958124,1.000000,0.959332
eng,0.938098,0.915878,0.941715,0.934914,0.892310,0.936836,0.939484,0.949343,0.962871,0.954434,0.973621,0.959332,1.000000
