,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.055835,0.023069,0.042587,0.056762,0.035293,0.028894,0.026771,0.018584,0.018823,0.095525,0.069827,0.061902
lij,0.055835,0.000000,0.028382,0.041880,0.061229,0.015934,0.011795,0.022102,0.043624,0.028481,0.133614,0.103583,0.084122
lmo,0.023069,0.028382,0.000000,0.028075,0.046521,0.018886,0.014956,0.015343,0.019347,0.005403,0.091783,0.076983,0.058285
sc,0.042587,0.041880,0.028075,0.000000,0.050832,0.035550,0.028279,0.020331,0.030548,0.024878,0.105518,0.096342,0.065086
scn,0.056762,0.061229,0.046521,0.050832,0.000000,0.068908,0.043912,0.063904,0.071290,0.055541,0.152589,0.122334,0.107690
vec,0.035293,0.015934,0.018886,0.035550,0.068908,0.000000,0.007600,0.007226,0.025931,0.014555,0.108217,0.071843,0.063164
ita,0.028894,0.011795,0.014956,0.028279,0.043912,0.007600,0.000000,0.008556,0.022064,0.011672,0.107983,0.078979,0.060516
spa,0.026771,0.022102,0.015343,0.020331,0.063904,0.007226,0.008556,0.000000,0.012645,0.006939,0.090281,0.065429,0.050657
fra,0.018584,0.043624,0.019347,0.030548,0.071290,0.025931,0.022064,0.012645,0.000000,0.007876,0.061915,0.058382,0.037129
cat,0.018823,0.028481,0.005403,0.024878,0.055541,0.014555,0.011672,0.006939,0.007876,0.000000,0.079318,0.064164,0.045566
deu,0.095525,0.133614,0.091783,0.105518,0.152589,0.108217,0.107983,0.090281,0.061915,0.079318,0.000000,0.041876,0.026379
slv,0.069827,0.103583,0.076983,0.096342,0.122334,0.071843,0.078979,0.065429,0.058382,0.064164,0.041876,0.000000,0.040668
eng,0.061902,0.084122,0.058285,0.065086,0.107690,0.063164,0.060516,0.050657,0.037129,0.045566,0.026379,0.040668,0.000000
