,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.927191,0.962133,0.942064,0.925507,0.948653,0.956849,0.955172,0.967466,0.967098,0.897211,0.915644,0.927330
lij,0.927191,1.000000,0.955017,0.938585,0.918387,0.968843,0.971404,0.957414,0.937038,0.951685,0.861488,0.892204,0.898023
lmo,0.962133,0.955017,1.000000,0.952785,0.933204,0.962896,0.969766,0.964542,0.964145,0.976391,0.897416,0.910225,0.924111
sc,0.942064,0.938585,0.952785,1.000000,0.936552,0.946885,0.955553,0.962031,0.952322,0.957163,0.880733,0.893379,0.915589
scn,0.925507,0.918387,0.933204,0.936552,1.000000,0.914841,0.938063,0.915678,0.912247,0.922787,0.845240,0.872158,0.875922
vec,0.948653,0.968843,0.962896,0.946885,0.914841,1.000000,0.982096,0.975122,0.954709,0.966904,0.875677,0.911943,0.913261
ita,0.956849,0.971404,0.969766,0.955553,0.938063,0.982096,1.000000,0.975793,0.961507,0.971722,0.884344,0.913501,0.921219
spa,0.955172,0.957414,0.964542,0.962031,0.915678,0.975122,0.975793,1.000000,0.969335,0.979979,0.894098,0.918817,0.930544
fra,0.967466,0.937038,0.964145,0.952322,0.912247,0.954709,0.961507,0.969335,1.000000,0.978265,0.924043,0.921681,0.947282
cat,0.967098,0.951685,0.976391,0.957163,0.922787,0.966904,0.971722,0.979979,0.978265,1.000000,0.907285,0.919973,0.938717
deu,0.897211,0.861488,0.897416,0.880733,0.845240,0.875677,0.884344,0.894098,0.924043,0.907285,1.000000,0.934755,0.954846
slv,0.915644,0.892204,0.910225,0.893379,0.872158,0.911943,0.913501,0.918817,0.921681,0.919973,0.934755,1.000000,0.931491
eng,0.927330,0.898023,0.924111,0.915589,0.875922,0.913261,0.921219,0.930544,0.947282,0.938717,0.954846,0.931491,1.000000
