dialect,reference,ref_family,mean_similarity
fur,fra,romance,0.967466
fur,cat,romance,0.967098
fur,ita,italian,0.956849
fur,spa,romance,0.955172
fur,eng,english,0.927330
fur,slv,slavic,0.915644
fur,deu,germanic,0.897211
lij,ita,italian,0.971404
lij,spa,romance,0.957414
lij,cat,romance,0.951685
lij,fra,romance,0.937038
lij,eng,english,0.898023
lij,slv,slavic,0.892204
lij,deu,germanic,0.861488
lmo,cat,romance,0.976391
lmo,ita,italian,0.969766
lmo,spa,romance,0.964542
lmo,fra,romance,0.964145
lmo,eng,english,0.924111
lmo,slv,slavic,0.910225
lmo,deu,germanic,0.897416
sc,spa,romance,0.962031
sc,cat,romance,0.957163
sc,ita,italian,0.955553
sc,fra,romance,0.952322
sc,eng,english,0.915589
sc,slv,slavic,0.893379
sc,deu,germanic,0.880733
scn,ita,italian,0.938063
scn,cat,romance,0.922787
scn,spa,romance,0.915678
scn,fra,romance,0.912247
scn,eng,english,0.875922
scn,slv,slavic,0.872158
scn,deu,germanic,0.845240
vec,ita,italian,0.982096
vec,spa,romance,0.975122
vec,cat,romance,0.966904
vec,fra,romance,0.954709
vec,eng,english,0.913261
vec,slv,slavic,0.911943
vec,deu,germanic,0.875677
