variety_A,variety_B,mean_similarity,family_A,family_B
fra,por,0.927678,romance,romance
fra,cat,0.919873,romance,romance
cat,por,0.918930,romance,romance
por,deu,0.917966,romance,germanic
fra,deu,0.915861,romance,germanic
ita,fra,0.911545,italian,romance
spa,cat,0.911247,romance,romance
ita,cat,0.909783,italian,romance
spa,por,0.908203,romance,romance
slv,hrv,0.907471,slavic,slavic
spa,fra,0.907142,romance,romance
fra,hrv,0.905161,romance,slavic
por,hrv,0.904643,romance,slavic
ita,por,0.904250,italian,romance
cat,eng,0.903385,romance,english
deu,hrv,0.902358,germanic,slavic
ita,spa,0.901859,italian,romance
cat,deu,0.901209,romance,germanic
fra,hun,0.900954,romance,uralic
por,hun,0.900732,romance,uralic
fra,slv,0.900229,romance,slavic
deu,hun,0.899855,germanic,uralic
cat,hrv,0.897311,romance,slavic
deu,slv,0.896923,germanic,slavic
fra,eng,0.896372,romance,english
por,slv,0.896259,romance,slavic
cat,slv,0.895805,romance,slavic
hrv,hun,0.894687,slavic,uralic
ita,deu,0.892815,italian,germanic
slv,hun,0.891835,slavic,uralic
cat,hun,0.891312,romance,uralic
spa,deu,0.889948,romance,germanic
ita,eng,0.889438,italian,english
ita,slv,0.888694,italian,slavic
ita,hrv,0.888598,italian,slavic
ita,hun,0.883942,italian,uralic
spa,hrv,0.883899,romance,slavic
spa,slv,0.883192,romance,slavic
por,eng,0.882170,romance,english
spa,eng,0.882151,romance,english
spa,hun,0.881125,romance,uralic
eng,slv,0.880510,english,slavic
eng,hrv,0.876637,english,slavic
deu,eng,0.874868,germanic,english
eng,hun,0.872055,english,uralic
oci,eng,0.864259,romance,english
cat,oci,0.863153,romance,romance
fra,oci,0.853630,romance,romance
por,oci,0.843506,romance,romance
ita,oci,0.843074,italian,romance
spa,oci,0.840172,romance,romance
oci,deu,0.828282,romance,germanic
oci,slv,0.826621,romance,slavic
oci,hrv,0.825648,romance,slavic
oci,hun,0.823144,romance,uralic
vec,eng,0.808303,italo_romance,english
vec,cat,0.789231,italo_romance,romance
vec,ita,0.786742,italo_romance,italian
vec,oci,0.785549,italo_romance,romance
vec,fra,0.779075,italo_romance,romance
vec,spa,0.771003,italo_romance,romance
vec,por,0.770491,italo_romance,romance
vec,slv,0.764100,italo_romance,slavic
vec,hrv,0.762595,italo_romance,slavic
vec,hun,0.760485,italo_romance,uralic
vec,deu,0.758840,italo_romance,germanic
lij,eng,0.754773,italo_romance,english
lij,vec,0.747443,italo_romance,italo_romance
sc,eng,0.744980,italo_romance,english
scn,eng,0.743672,italo_romance,english
lij,oci,0.742748,italo_romance,romance
sc,oci,0.739747,italo_romance,romance
fur,vec,0.731635,italo_romance,italo_romance
fur,eng,0.730128,italo_romance,english
fur,oci,0.726186,italo_romance,romance
lij,cat,0.725179,italo_romance,romance
sc,vec,0.725051,italo_romance,italo_romance
sc,cat,0.721769,italo_romance,romance
lij,ita,0.721749,italo_romance,italian
scn,oci,0.715968,italo_romance,romance
scn,cat,0.714463,italo_romance,romance
scn,vec,0.714052,italo_romance,italo_romance
fur,lij,0.713668,italo_romance,italo_romance
sc,ita,0.712655,italo_romance,italian
lij,sc,0.712151,italo_romance,italo_romance
lmo,vec,0.711003,italo_romance,italo_romance
lij,fra,0.710293,italo_romance,romance
scn,ita,0.708756,italo_romance,italian
lmo,eng,0.707551,italo_romance,english
lij,spa,0.706014,italo_romance,romance
sc,fra,0.705075,italo_romance,romance
lmo,oci,0.702522,italo_romance,romance
sc,spa,0.701987,italo_romance,romance
fur,cat,0.700617,italo_romance,romance
scn,fra,0.700507,italo_romance,romance
fur,lmo,0.700369,italo_romance,italo_romance
lij,slv,0.698740,italo_romance,slavic
lij,por,0.698485,italo_romance,romance
lij,lmo,0.697843,italo_romance,italo_romance
fur,sc,0.696938,italo_romance,italo_romance
sc,por,0.696259,italo_romance,romance
fur,ita,0.695205,italo_romance,italian
scn,spa,0.694268,italo_romance,romance
lij,hun,0.693776,italo_romance,uralic
lij,hrv,0.693612,italo_romance,slavic
scn,slv,0.693300,italo_romance,slavic
sc,slv,0.693157,italo_romance,slavic
scn,hrv,0.690073,italo_romance,slavic
scn,por,0.689653,italo_romance,romance
sc,hrv,0.689335,italo_romance,slavic
lij,deu,0.688710,italo_romance,germanic
sc,hun,0.688678,italo_romance,uralic
scn,hun,0.687846,italo_romance,uralic
lij,scn,0.685877,italo_romance,italo_romance
lmo,sc,0.684929,italo_romance,italo_romance
fur,fra,0.684614,italo_romance,romance
sc,deu,0.684242,italo_romance,germanic
sc,scn,0.684129,italo_romance,italo_romance
scn,deu,0.681764,italo_romance,germanic
fur,spa,0.680998,italo_romance,romance
fur,scn,0.676794,italo_romance,italo_romance
fur,slv,0.675115,italo_romance,slavic
lmo,cat,0.674022,italo_romance,romance
fur,hrv,0.669902,italo_romance,slavic
fur,por,0.669564,italo_romance,romance
fur,hun,0.668818,italo_romance,uralic
lmo,ita,0.667915,italo_romance,italian
lmo,scn,0.665155,italo_romance,italo_romance
fur,deu,0.662376,italo_romance,germanic
lmo,fra,0.657899,italo_romance,romance
lmo,spa,0.653953,italo_romance,romance
lmo,slv,0.649479,italo_romance,slavic
lmo,por,0.646682,italo_romance,romance
lmo,hrv,0.646146,italo_romance,slavic
lmo,hun,0.643475,italo_romance,uralic
lmo,deu,0.637567,italo_romance,germanic
