,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.713668,0.700369,0.696938,0.676794,0.731635,0.695205,0.680998,0.684614,0.700617,0.669564,0.726186,0.662376,0.730128,0.675115,0.669902,0.668818
lij,0.713668,1.000000,0.697843,0.712151,0.685877,0.747443,0.721749,0.706014,0.710293,0.725179,0.698485,0.742748,0.688710,0.754773,0.698740,0.693612,0.693776
lmo,0.700369,0.697843,1.000000,0.684929,0.665155,0.711003,0.667915,0.653953,0.657899,0.674022,0.646682,0.702522,0.637567,0.707551,0.649479,0.646146,0.643475
sc,0.696938,0.712151,0.684929,1.000000,0.684129,0.725051,0.712655,0.701987,0.705075,0.721769,0.696259,0.739747,0.684242,0.744980,0.693157,0.689335,0.688678
scn,0.676794,0.685877,0.665155,0.684129,1.000000,0.714052,0.708756,0.694268,0.700507,0.714463,0.689653,0.715968,0.681764,0.743672,0.693300,0.690073,0.687846
vec,0.731635,0.747443,0.711003,0.725051,0.714052,1.000000,0.786742,0.771003,0.779075,0.789231,0.770491,0.785549,0.758840,0.808303,0.764100,0.762595,0.760485
ita,0.695205,0.721749,0.667915,0.712655,0.708756,0.786742,1.000000,0.901859,0.911545,0.909783,0.904250,0.843074,0.892815,0.889438,0.888694,0.888598,0.883942
spa,0.680998,0.706014,0.653953,0.701987,0.694268,0.771003,0.901859,1.000000,0.907142,0.911247,0.908203,0.840172,0.889948,0.882151,0.883192,0.883899,0.881125
fra,0.684614,0.710293,0.657899,0.705075,0.700507,0.779075,0.911545,0.907142,1.000000,0.919873,0.927678,0.853630,0.915861,0.896372,0.900229,0.905161,0.900954
cat,0.700617,0.725179,0.674022,0.721769,0.714463,0.789231,0.909783,0.911247,0.919873,1.000000,0.918930,0.863153,0.901209,0.903385,0.895805,0.897311,0.891312
por,0.669564,0.698485,0.646682,0.696259,0.689653,0.770491,0.904250,0.908203,0.927678,0.918930,1.000000,0.843506,0.917966,0.882170,0.896259,0.904643,0.900732
oci,0.726186,0.742748,0.702522,0.739747,0.715968,0.785549,0.843074,0.840172,0.853630,0.863153,0.843506,1.000000,0.828282,0.864259,0.826621,0.825648,0.823144
deu,0.662376,0.688710,0.637567,0.684242,0.681764,0.758840,0.892815,0.889948,0.915861,0.901209,0.917966,0.828282,1.000000,0.874868,0.896923,0.902358,0.899855
eng,0.730128,0.754773,0.707551,0.744980,0.743672,0.808303,0.889438,0.882151,0.896372,0.903385,0.882170,0.864259,0.874868,1.000000,0.880510,0.876637,0.872055
slv,0.675115,0.698740,0.649479,0.693157,0.693300,0.764100,0.888694,0.883192,0.900229,0.895805,0.896259,0.826621,0.896923,0.880510,1.000000,0.907471,0.891835
hrv,0.669902,0.693612,0.646146,0.689335,0.690073,0.762595,0.888598,0.883899,0.905161,0.897311,0.904643,0.825648,0.902358,0.876637,0.907471,1.000000,0.894687
hun,0.668818,0.693776,0.643475,0.688678,0.687846,0.760485,0.883942,0.881125,0.900954,0.891312,0.900732,0.823144,0.899855,0.872055,0.891835,0.894687,1.000000
