,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.693635,0.752338,0.668227,0.591902,0.745168,0.747501,0.703420,0.756395,0.748195,0.676878,0.742335,0.442506,0.662410,0.371076,0.379677,0.337055
lij,0.693635,1.000000,0.713691,0.624513,0.638312,0.786115,0.776789,0.657412,0.625756,0.642121,0.709368,0.656218,0.416269,0.576701,0.443514,0.445274,0.340065
lmo,0.752338,0.713691,1.000000,0.664382,0.631883,0.778850,0.722826,0.728158,0.701976,0.776182,0.677512,0.782041,0.496899,0.624891,0.456238,0.466966,0.375885
sc,0.668227,0.624513,0.664382,1.000000,0.618707,0.693975,0.724485,0.776937,0.667995,0.738777,0.754453,0.724604,0.449019,0.592188,0.448215,0.476995,0.309015
scn,0.591902,0.638312,0.631883,0.618707,1.000000,0.665629,0.697899,0.522520,0.472428,0.546301,0.541465,0.545868,0.309425,0.456380,0.416929,0.443482,0.257950
vec,0.745168,0.786115,0.778850,0.693975,0.665629,1.000000,0.827083,0.742653,0.647026,0.726195,0.745440,0.705395,0.446945,0.615520,0.525251,0.525111,0.299408
ita,0.747501,0.776789,0.722826,0.724485,0.697899,0.827083,1.000000,0.751575,0.675188,0.730765,0.741177,0.710046,0.439237,0.620431,0.468724,0.460184,0.271177
spa,0.703420,0.657412,0.728158,0.776937,0.522520,0.742653,0.751575,1.000000,0.736010,0.866805,0.846879,0.847965,0.490880,0.640499,0.452889,0.442295,0.366011
fra,0.756395,0.625756,0.701976,0.667995,0.472428,0.647026,0.675188,0.736010,1.000000,0.771069,0.650629,0.783036,0.499645,0.656628,0.343591,0.346590,0.321657
cat,0.748195,0.642121,0.776182,0.738777,0.546301,0.726195,0.730765,0.866805,0.771069,1.000000,0.754183,0.896764,0.466510,0.651152,0.400905,0.402004,0.366814
por,0.676878,0.709368,0.677512,0.754453,0.541465,0.745440,0.741177,0.846879,0.650629,0.754183,1.000000,0.723939,0.422001,0.607543,0.473008,0.474502,0.375991
oci,0.742335,0.656218,0.782041,0.724604,0.545868,0.705395,0.710046,0.847965,0.783036,0.896764,0.723939,1.000000,0.419121,0.608447,0.373129,0.372371,0.327582
deu,0.442506,0.416269,0.496899,0.449019,0.309425,0.446945,0.439237,0.490880,0.499645,0.466510,0.422001,0.419121,1.000000,0.489718,0.362054,0.337381,0.399511
eng,0.662410,0.576701,0.624891,0.592188,0.456380,0.615520,0.620431,0.640499,0.656628,0.651152,0.607543,0.608447,0.489718,1.000000,0.374139,0.365598,0.378796
slv,0.371076,0.443514,0.456238,0.448215,0.416929,0.525251,0.468724,0.452889,0.343591,0.400905,0.473008,0.373129,0.362054,0.374139,1.000000,0.854423,0.287849
hrv,0.379677,0.445274,0.466966,0.476995,0.443482,0.525111,0.460184,0.442295,0.346590,0.402004,0.474502,0.372371,0.337381,0.365598,0.854423,1.000000,0.240764
hun,0.337055,0.340065,0.375885,0.309015,0.257950,0.299408,0.271177,0.366011,0.321657,0.366814,0.375991,0.327582,0.399511,0.378796,0.287849,0.240764,1.000000
