# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.026158,family_labels
davies_bouldin,0.929348,family_labels
calinski_harabasz,1.403590,family_labels
cophenetic_correlation,0.822329,hierarchical
adjusted_rand_index,-0.011111,hierarchical_cut
normalized_mutual_info,0.514753,hierarchical_cut
v_measure,0.514753,hierarchical_cut
adjusted_rand_index,-0.011111,kmeans
normalized_mutual_info,0.514753,kmeans
v_measure,0.514753,kmeans

# Per-variety silhouette scores
variety,family,silhouette
fur,italo_romance,0.191415
lmo,italo_romance,0.191365
cat,romance,0.111881
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
sc,italo_romance,-0.101517
vec,italo_romance,-0.114978
scn,italo_romance,-0.120474
lij,italo_romance,-0.145051
spa,romance,-0.154220
fra,romance,-0.198470
