,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.007748,0.005311,0.008799,0.008736,0.006205,0.009108,0.011001,0.009345,0.011111,0.010684,0.009586,0.009102
lij,0.007748,0.000000,0.005745,0.008140,0.009044,0.004629,0.006037,0.008648,0.007817,0.009403,0.009057,0.008056,0.007607
lmo,0.005311,0.005745,0.000000,0.006472,0.006339,0.003205,0.006696,0.008344,0.007695,0.007776,0.008541,0.007586,0.007324
sc,0.008799,0.008140,0.006472,0.000000,0.006914,0.006027,0.006532,0.008303,0.008191,0.008911,0.009278,0.008558,0.007948
scn,0.008736,0.009044,0.006339,0.006914,0.000000,0.008524,0.006958,0.011281,0.009770,0.010806,0.011372,0.010468,0.010228
vec,0.006205,0.004629,0.003205,0.006027,0.008524,0.000000,0.005061,0.006939,0.007262,0.008578,0.008345,0.006126,0.006192
ita,0.009108,0.006037,0.006696,0.006532,0.006958,0.005061,0.000000,0.003497,0.003510,0.005173,0.004709,0.004143,0.003555
spa,0.011001,0.008648,0.008344,0.008303,0.011281,0.006939,0.003497,0.000000,0.003919,0.004349,0.004927,0.004923,0.003808
fra,0.009345,0.007817,0.007695,0.008191,0.009770,0.007262,0.003510,0.003919,0.000000,0.004839,0.004502,0.005112,0.003762
cat,0.011111,0.009403,0.007776,0.008911,0.010806,0.008578,0.005173,0.004349,0.004839,0.000000,0.006446,0.006950,0.005502
deu,0.010684,0.009057,0.008541,0.009278,0.011372,0.008345,0.004709,0.004927,0.004502,0.006446,0.000000,0.005054,0.003450
slv,0.009586,0.008056,0.007586,0.008558,0.010468,0.006126,0.004143,0.004923,0.005112,0.006950,0.005054,0.000000,0.004006
eng,0.009102,0.007607,0.007324,0.007948,0.010228,0.006192,0.003555,0.003808,0.003762,0.005502,0.003450,0.004006,0.000000
